"cod_noga4","cod_noga2","txt_noga4"
2731,273,"Herstellung von Glasfaserkabeln"
2732,273,"Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln"
2733,273,"Herstellung von elektrischem Installationsmaterial"
2740,274,"Herstellung von elektrischen Lampen und Leuchten"
2751,275,"Herstellung von elektrischen Haushaltsgeräten"
2752,275,"Herstellung von nichtelektrischen Haushaltsgeräten"
2790,279,"Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g."
2811,281,"Herstellung von Verbrennungsmotoren und Turbinen (ohne Motoren für Luft- und Strassenfahrzeuge)"
2812,281,"Herstellung von hydraulischen und pneumatischen Komponenten und Systemen"
2813,281,"Herstellung von Pumpen und Kompressoren a. n. g."
2814,281,"Herstellung von Armaturen a. n. g."
2815,281,"Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen"
2821,282,"Herstellung von Öfen und Brennern"
2822,282,"Herstellung von Hebezeugen und Fördermitteln"
2823,282,"Herstellung von Büromaschinen (ohne Datenverarbeitungsgeräte und periphere Geräte)"
2824,282,"Herstellung von handgeführten Werkzeugen mit Motorantrieb"
2825,282,"Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt"
2829,282,"Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g."
2830,283,"Herstellung von land- und forstwirtschaftlichen Maschinen"
2841,284,"Herstellung von Werkzeugmaschinen für die Metallbearbeitung"
2849,284,"Herstellung von sonstigen Werkzeugmaschinen"
2891,289,"Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Giessmaschinen"
2892,289,"Herstellung von Bergwerks-, Bau- und Baustoffmaschinen"
2893,289,"Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung"
2894,289,"Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung"
2895,289,"Herstellung von Maschinen für die Papiererzeugung und -verarbeitung"
2896,289,"Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk"
2899,289,"Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g."
2910,291,"Herstellung von Automobilen und Automobilmotoren"
2920,292,"Herstellung von Karosserien, Aufbauten und Anhängern"
2931,293,"Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Automobile"
2932,293,"Herstellung von sonstigen Teilen und sonstigem Zubehör für Automobile"
3011,301,"Schiffbau (ohne Boots- und Yachtbau)"
3012,301,"Boots- und Yachtbau"
3020,302,"Schienenfahrzeugbau"
3030,303,"Luft- und Raumfahrzeugbau"
3040,304,"Herstellung von militärischen Kampffahrzeugen"
3091,309,"Herstellung von Motorrädern"
3092,309,"Herstellung von Fahrrädern sowie von Behindertenfahrzeugen"
3099,309,"Herstellung von sonstigen Fahrzeugen a. n. g."
3101,310,"Herstellung von Büro- und Ladenmöbeln"
3102,310,"Herstellung von Küchenmöbeln"
3103,310,"Herstellung von Matratzen"
3109,310,"Herstellung von sonstigen Möbeln"
3211,321,"Herstellung von Münzen"
3212,321,"Herstellung von Schmuck, Gold- und Silberschmiedewaren (ohne Fantasieschmuck)"
3213,321,"Herstellung von Fantasieschmuck"
3220,322,"Herstellung von Musikinstrumenten"
3230,323,"Herstellung von Sportgeräten"
3240,324,"Herstellung von Spielwaren"
3250,325,"Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien"
3291,329,"Herstellung von Besen und Bürsten"
3299,329,"Herstellung von sonstigen Erzeugnissen a. n. g."
3311,331,"Reparatur von Metallerzeugnissen"
3312,331,"Reparatur von Maschinen"
3313,331,"Reparatur von elektronischen und optischen Geräten"
3314,331,"Reparatur von elektrischen Ausrüstungen"
3315,331,"Reparatur und Instandhaltung von Schiffen, Booten und Yachten"
3316,331,"Reparatur und Instandhaltung von Luft- und Raumfahrzeugen"
3317,331,"Reparatur und Instandhaltung von Fahrzeugen a. n. g."
3319,331,"Reparatur von sonstigen Ausrüstungen"
3320,332,"Installation von Maschinen und Ausrüstungen a. n. g."
3511,351,"Elektrizitätserzeugung"
3512,351,"Elektrizitätsübertragung"
3513,351,"Elektrizitätsverteilung"
3514,351,"Elektrizitätshandel"
3521,352,"Gaserzeugung"
3522,352,"Gasverteilung durch Rohrleitungen"
3523,352,"Gashandel durch Rohrleitungen"
3530,353,"Wärme- und Kälteversorgung"
3600,360,"Wasserversorgung"
3700,370,"Abwasserentsorgung"
3811,381,"Sammlung nicht gefährlicher Abfälle"
3812,381,"Sammlung gefährlicher Abfälle"
3821,382,"Behandlung und Beseitigung nicht gefährlicher Abfälle"
3822,382,"Behandlung und Beseitigung gefährlicher Abfälle"
