"cod_isco4","cod_isco2","txt_isco4"
4222,422,"Kundeninformationsfachkräfte in Call Centers"
4223,422,"Telefonisten"
4224,422,"Hotelrezeptionisten"
4225,422,"Auskunftspersonal"
4226,422,"Empfangskräfte (allgemein)"
4227,422,"Interviewer im Bereich Umfragen und Marktforschung"
4229,422,"Berufe im Bereich Kundeninformation, anderweitig nicht genannt"
4300,430,"Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft, onA"
4310,431,"Bürokräfte im Finanz- und Rechnungswesen und in der Statistik, onA"
4311,431,"Bürokräfte im Rechnungswesen und in der Buchhaltung"
4312,431,"Bürokräfte in der Statistik, im Finanz- und Versicherungswesen"
4313,431,"Bürokräfte in der Lohnbuchhaltung"
4320,432,"Bürokräfte im Bereich Materialwirtschaft und Transport und verwandte Berufe, onA"
4321,432,"Fachkräfte in der Lagerwirtschaft"
4322,432,"Bürokräfte in der Material- und Fertigungsplanung und verwandte Berufe"
4323,432,"Bürokräfte in der Transportwirtschaft und verwandte Berufe"
4410,441,"Sonstige Bürokräfte und verwandte Berufe, onA"
4411,441,"Bibliotheksassistenten"
4412,441,"Postverteiler und -sortierer"
4413,441,"Kodierer, Korrekturleser und verwandte Bürokräfte"
4414,441,"Schreiber und verwandte Arbeitskräfte"
4415,441,"Bürokräfte für Registratur und Dokumentation"
4416,441,"Bürokräfte im Personalwesen"
4419,441,"Bürokräfte und verwandte Berufe, anderweitig nicht genannt"
5000,500,"Dienstleistungsberufe und Verkäufer, onA"
5100,510,"Berufe im Bereich personenbezogener Dienstleistungen, onA"
5110,511,"Reisebegleiter, Schaffner und Reiseleiter, onA"
5111,511,"Reisebegleiter und Stewards"
5112,511,"Schaffner"
5113,511,"Reiseleiter/Fremdenführer"
5120,512,"Köche"
5130,513,"Chefs de service, Servicefach-, Servicehilfskräfte in Restaurants und Barkeeper, onA"
5131,513,"Chefs de service, Servicefach- und Servicehilfskräfte in Restaurants"
5132,513,"Barkeeper"
5140,514,"Coiffeurs, Kosmetiker und verwandte Berufe, onA"
5141,514,"Coiffeurs"
5142,514,"Kosmetiker und verwandte Berufe"
5150,515,"Hauswarte und Hauswirtschaftsleiter, onA"
5151,515,"Reinigungs- und Hauswirtschaftleiter und -kräfte in Büros, Hotels und anderen Einrichtungen"
5152,515,"Hauswirtschafter in Privathaushalten"
5153,515,"Hauswarte"
5160,516,"Sonstige Berufe im Bereich personenbezogener Dienstleistungen, onA"
5161,516,"Astrologen, Wahrsager und verwandte Berufe"
5162,516,"Gesellschafter und Zofen/Kammerdiener"
5163,516,"Bestatter und Einbalsamierer"
5164,516,"Tierpfleger und -betreuer"
5165,516,"Fahrschullehrer"
5169,516,"Berufe im Bereich personenbezogener Dienstleistungen, anderweitig nicht genannt"
5200,520,"Verkaufskräfte, onA"
5210,521,"Strassen- und Marktverkäufer, onA"
5211,521,"Verkaufsstand- und Marktverkäufer"
5212,521,"Strassenverkäufer von Lebensmitteln"
5220,522,"Verkaufskräfte in Handelsgeschäften, onA"
5221,522,"Leiter eines Einzelhandelsgeschäftes"
5222,522,"Verkaufsaufsichtskräfte in Handelsgeschäften"
5223,522,"Verkäufer  in Handelsgeschäften"
5230,523,"Kassierer und Kartenverkäufer"
5240,524,"Sonstige Verkaufskräfte, onA"
5241,524,"Mannequins/Dressmen und sonstige Modelle"
5242,524,"Produktvorführer"
5243,524,"Haustürverkäufer"
5244,524,"Telefonverkäufer"
5245,524,"Tankwarte"
5246,524,"Imbissverkäufer"
5249,524,"Verkaufskräfte, anderweitig nicht genannt"
5300,530,"Betreuungsberufe, onA"
5310,531,"Kinder- und Lernbetreuer, onA"
5311,531,"Kinderbetreuer"
5312,531,"Lernbetreuer"
5320,532,"Betreuungsberufe im Gesundheitswesen, onA"
5321,532,"Pflegehelfer in Institutionen"
5322,532,"Haus- und Familienpfleger und -betreuer"
5329,532,"Betreuungsberufe im Gesundheitswesen, anderweitig nicht genannt"
5410,541,"Schutzkräfte und Sicherheitsbedienstete, onA"
5411,541,"Feuerwehrleute"
5412,541,"Polizisten (ohne Polizeikommissare)"
5413,541,"Gefängnisaufseher"
5414,541,"Sicherheitsdienstleistungspersonal"
5419,541,"Schutzkräfte und Sicherheitsbedienstete, anderweitig nicht genannt"
6000,600,"Fachkräfte in Land- und Forstwirtschaft und Fischerei, onA"
6100,610,"Fachkräfte in der Landwirtschaft, onA"
6110,611,"Gärtner und Ackerbauern, onA"
6111,611,"Gemüseanbauer"
6112,611,"Obst- und Beerenanbauer"
6113,611,"Gärtner, Gartenbau und Pflanzenproduktion"
6114,611,"Fachkräfte in der Mischkulturlandwirtschaft"
6120,612,"Tierhalter, onA"
6121,612,"Nutztierhalter (ohne Geflügel) und Milchproduzenten"
6122,612,"Geflügelhalter"
6123,612,"Imker und Seidenraupenzüchter"
6129,612,"Tierhalter, anderweitig nicht genannt"
6130,613,"Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)"
6200,620,"Fachkräfte in Forstwirtschaft, Fischerei und Jagd – Marktproduktion, onA"
6210,621,"Forstarbeitskräfte und verwandte Berufe"
6220,622,"Fischer, Jäger und Fallensteller, onA"
6221,622,"Fachkräfte im Bereich Aquakultur"
6222,622,"Binnen- und Küstenfischer"
6223,622,"Hochseefischer"
6224,622,"Jäger und Fallensteller"
6300,630,"Landwirte, Fischer, Jäger und Sammler für den Eigenbedarf, onA"
6310,631,"Ackerbauern für den Eigenbedarf"
6320,632,"Nutztierhalter für den Eigenbedarf"
6330,633,"Ackerbauern und Nutztierhalter (ohne ausgeprägten Schwerpunkt) für den Eigenbedarf"
6340,634,"Fischer, Jäger, Fallensteller und Sammler für den Eigenbedarf"
7000,700,"Handwerks- und verwandte Berufe, onA"
7100,710,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker, onA"
7110,711,"Baukonstruktions- und verwandte Berufe, onA"
7111,711,"Rohbaufacharbeiter im Hochbau"
7112,711,"Maurer und verwandte Berufe"
7113,711,"Steinmetze, Steinspalter, -bearbeiter und Steinbildhauer"
7114,711,"Betonierer, Betonoberflächenfertiger und verwandte Berufe"
7115,711,"Zimmerleute, Bautischler, Storenmonteure, Bootbauer"
7119,711,"Baukonstruktions- und verwandte Berufe, anderweitig nicht genannt"
7120,712,"Ausbaufachkräfte und verwandte Berufe, onA"
7121,712,"Dachdecker"
7122,712,"Boden- und Fliesenleger"
7123,712,"Gipser, Trockenbauer"
7124,712,"Isolierer"
7125,712,"Glaser"
7126,712,"Bauspengler und Sanitär- und Heizungsinstallateure"
7127,712,"Klima-, Kälte, und Lüftungsanlagenbauer"
7130,713,"Maler, Gebäudereiniger und verwandte Berufe, onA"
7131,713,"Maler und verwandte Berufe"
7132,713,"Lackierer und verwandte Berufe"
7133,713,"Fassadenreiniger und Schornsteinfeger/Rauchfangkehrer"
7200,720,"Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe, onA"
7210,721,"Blechkaltverformer, Baumetallverformer, Former (für Metallguss), Schweisser, Anlagen- und Apparatebauer und verwandte Berufe, onA"
7211,721,"Former und Kernmacher (für Metallguss)"
7212,721,"Schweisser und Brennschneider"
7213,721,"Blechkaltverformer"
7214,721,"Baumetallverformer und Metallbauer"
7215,721,"Verspannungsmonteure und Seilspleisser"
7220,722,"Grobschmiede, Werkzeugmechaniker und verwandte Berufe, onA"
7221,722,"Grobschmiede, Hammerschmiede und Schmiedepresser"
7222,722,"Werkzeugmechaniker und verwandte Berufe"
7223,722,"Werkzeugmaschineneinrichter und -bediener"
7224,722,"Metallpolierer, Rundschleifer und Werkzeugschärfer"
7230,723,"Maschinenmechaniker und -schlosser, onA"
7231,723,"Kraftfahrzeugmechaniker und -schlosser"
7232,723,"Flugmotorenmechaniker und -schlosser"
7233,723,"Landmaschinen- und Industriemaschinenmechaniker und -schlosser"
7234,723,"Fahrradmechaniker und verwandte Berufe"
7300,730,"Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe, onA"
7310,731,"Präzisionshandwerker und kunsthandwerkliche Berufe, onA"
7311,731,"Uhrmacher, Uhrenarbeiter, Mikromechaniker"
7312,731,"Musikinstrumentenbauer und -stimmer"
7313,731,"Schmuckwarenhersteller und Edelmetallbearbeiter"
7314,731,"Keramiker und verwandte Berufe"
7315,731,"Glasmacher, -schneider, -schleifer und -veredler"
7316,731,"Schildermaler, Dekormaler, Graveure und Ätzer"
7317,731,"Kunsthandwerkliche Berufe für Holz, Korbwaren und verwandte Materialien"
7318,731,"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien"
7319,731,"Kunsthandwerkliche Berufe, anderweitig nicht genannt"
7320,732,"Druckhandwerker, onA"
7321,732,"Techniker in der Druckvorstufe"
7322,732,"Drucker"
7323,732,"Berufe in der Druckweiterverarbeitung und Buchbinder"
7400,740,"Elektriker und Elektroniker, onA"
7410,741,"Elektroinstallateure und -mechaniker, onA"
7411,741,"Bauelektriker und verwandte Berufe"
7412,741,"Automatiker und verwandte Berufe"
7413,741,"Elektroleitungsinstallateure und Wartungspersonal"
7420,742,"Installateure und Mechaniker für Elektronik und Telekommunikationstechnik, onA"
7421,742,"Elektroniker und Elektronik-Servicetechniker"
7422,742,"Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik"
7500,750,"Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte, onA"
7510,751,"Berufe in der Nahrungsmittelverarbeitung und verwandte handwerkliche Fachkräfte, onA"
7511,751,"Metzger, Fischhändler und -verarbeiter und verwandte Berufe"
7512,751,"Bäcker, Konditoren und Konfektmacher"
7513,751,"Molkerei- und Käsereifachkräfte"
7514,751,"Obst- und Gemüsekonservierer und verwandte Berufe"
7515,751,"Nahrungsmittel- und Getränkekoster und -klassierer"
7516,751,"Tabakaufbereiter und Tabakwarenmacher"
7520,752,"Holzbearbeiter, Möbeltischler und verwandte Berufe, onA"
7521,752,"Holztrockner und -konservierer"
7522,752,"Möbeltischler und verwandte Berufe"
7523,752,"Einrichter und Bediener von Holzbearbeitungsmaschinen"
7530,753,"Berufe der Bekleidungsherstellung und verwandte Berufe, onA"
7531,753,"Herren- und Damenschneider, Kürschner und Hutmacher"
7532,753,"Schnittmustermacher und Zuschneider"
7533,753,"Näher, Sticker und verwandte Berufe"
7534,753,"Polsterer und verwandte Berufe"
7535,753,"Pelzveredler, Gerber und Fellzurichter"
7536,753,"Schuhmacher und verwandte Berufe"
7540,754,"Sonstige Handwerks- und verwandte Berufe, onA"
7541,754,"Taucher"
7542,754,"Sprengmeister und Sprengbeauftragte"
7543,754,"Produkttester und -klassierer (ohne Nahrungsmittel und Getränke)"
7544,754,"Kammerjäger und andere Schädlingsbekämpfungsberufe"
7549,754,"Handwerks- und verwandte Berufe, anderweitig nicht genannt"
8000,800,"Bediener von Anlagen und Maschinen und Montageberufe, onA"
